date,symbol,setup_type,score,close,stop_loss,target,reasons,created_at
2026-05-06,ADANIENT.NS,momentum,8,2539.16,2384.94,2770.5,"Uptrend (above rising SMA50), Near 20-day high, ADX greater than 25, Open-Low Same (conviction buy), Strong RSI momentum, Weekly trend aligned (above Weekly EMA20), Outperforming index, Inside Bar breakout",2026-07-08T21:15:10.290117
2026-05-06,BOSCHLTD.NS,momentum,8,36645.0,34689.16,39578.76,"Uptrend (above rising SMA50), RSI in healthy zone, Volume contracting (low selling pressure), Weekly trend aligned (above Weekly EMA20), Stochastic oversold pullback, Inside Bar breakout, NR7 narrow-range breakout, EMA 21 support pullback",2026-07-08T21:15:10.290148
2026-05-06,HINDZINC.NS,momentum_breakout,8,634.6,595.99,692.51,"Uptrend (above rising SMA50), Volume spike (>1.5x avg), Near 20-day high, Momentum Breakout (VCP + volume spike), Strong RSI momentum, Weekly trend aligned (above Weekly EMA20), Outperforming index",2026-07-08T21:15:10.290154
2026-05-07,NESTLEIND.NS,momentum,8,1476.0,1415.72,1566.42,"Uptrend (above rising SMA50), Near 20-day high, ADX greater than 25, Recent SMA50/SMA100 bullish crossover, Strong RSI momentum, Volume contracting (low selling pressure), Weekly trend aligned (above Weekly EMA20), Outperforming index",2026-07-08T21:15:41.638891
2026-05-07,HAL.NS,momentum,8,4782.1,4558.53,5117.46,"Uptrend (above rising SMA50), Volume spike (>1.5x avg), Near 20-day high, ADX greater than 25, Strong RSI momentum, Weekly trend aligned (above Weekly EMA20), Outperforming index, Inside Bar breakout",2026-07-08T21:15:41.639822
2026-05-07,CGPOWER.NS,macd_crossover,8,859.1,792.73,958.65,"Uptrend (above rising SMA50), MACD bullish crossover, Volume spike (>1.5x avg), Near 20-day high, ADX greater than 25, Strong RSI momentum, Weekly trend aligned (above Weekly EMA20), Outperforming index",2026-07-08T21:15:41.640594
2026-05-07,TATACONSUM.NS,momentum,8,1142.04,1090.51,1219.33,"Uptrend (above rising SMA50), RSI in healthy zone, ADX greater than 25, Pullback to SMA100 support, Volume contracting (low selling pressure), Weekly trend aligned (above Weekly EMA20), Outperforming index, EMA 21 support pullback",2026-07-08T21:15:41.641279
2026-05-08,TATACONSUM.NS,macd_crossover,10,1166.33,1099.04,1267.27,"Uptrend (above rising SMA50), RSI in healthy zone, MACD bullish crossover, Volume spike (>1.5x avg), Near 20-day high, ADX greater than 25, Open-Low Same (conviction buy), Pullback to SMA100 support, Weekly trend aligned (above Weekly EMA20), Outperforming index",2026-07-08T21:16:12.755914
2026-05-08,ASIANPAINT.NS,momentum_breakout,10,2599.9,2475.45,2786.57,"Uptrend (above rising SMA50), MACD bullish crossover, Volume spike (>1.5x avg), Near 20-day high, ADX greater than 25, Momentum Breakout (VCP + volume spike), Strong RSI momentum, Weekly trend aligned (above Weekly EMA20), Outperforming index",2026-07-08T21:16:12.756789
2026-05-08,TITAN.NS,momentum,9,4509.0,4270.8,4866.3,"Uptrend (above rising SMA50), RSI in healthy zone, Volume spike (>1.5x avg), Near 20-day high, Pullback to SMA100 support, Weekly trend aligned (above Weekly EMA20), Outperforming index, Stochastic oversold pullback, Bollinger Band lower support pullback",2026-07-08T21:16:12.757608
2026-05-08,NESTLEIND.NS,momentum,8,1482.4,1422.67,1572.0,"Uptrend (above rising SMA50), Near 20-day high, ADX greater than 25, Recent SMA50/SMA100 bullish crossover, Strong RSI momentum, Volume contracting (low selling pressure), Weekly trend aligned (above Weekly EMA20), Outperforming index",2026-07-08T21:16:12.758331
2026-05-08,HDFCAMC.NS,momentum,8,2792.91,2643.11,3017.62,"Uptrend (above rising SMA50), RSI in healthy zone, Near 20-day high, ADX greater than 25, Open-Low Same (conviction buy), Volume contracting (low selling pressure), Weekly trend aligned (above Weekly EMA20), Outperforming index",2026-07-08T21:16:12.758971
2026-05-08,CUMMINSIND.NS,macd_crossover,8,5401.0,5085.51,5874.23,"Uptrend (above rising SMA50), MACD bullish crossover, Near 20-day high, ADX greater than 25, Strong RSI momentum, Volume contracting (low selling pressure), Weekly trend aligned (above Weekly EMA20), Outperforming index",2026-07-08T21:16:12.759635
2026-05-11,TATACONSUM.NS,macd_crossover,9,1260.34,1179.57,1381.48,"Uptrend (above rising SMA50), MACD bullish crossover, Volume spike (>1.5x avg), Near 20-day high, ADX greater than 25, Open-Low Same (conviction buy), Strong RSI momentum, Weekly trend aligned (above Weekly EMA20), Outperforming index",2026-07-08T21:16:44.504532
2026-05-11,TORNTPHARM.NS,momentum_breakout,9,4508.14,4311.11,4803.69,"Uptrend (above rising SMA50), Volume spike (>1.5x avg), Near 20-day high, Momentum Breakout (VCP + volume spike), Strong RSI momentum, Volume contracting (low selling pressure), Weekly trend aligned (above Weekly EMA20), Outperforming index",2026-07-08T21:16:44.505631
2026-05-12,ONGC.NS,momentum,8,294.5,279.35,317.22,"Uptrend (above rising SMA50), RSI in healthy zone, Volume spike (>1.5x avg), ADX greater than 25, Open-Low Same (conviction buy), Weekly trend aligned (above Weekly EMA20), Outperforming index, Stochastic oversold pullback",2026-07-08T21:17:15.196044
2026-05-12,HINDZINC.NS,momentum_breakout,8,641.9,605.28,696.83,"Uptrend (above rising SMA50), Volume spike (>1.5x avg), Near 20-day high, Momentum Breakout (VCP + volume spike), Strong RSI momentum, Weekly trend aligned (above Weekly EMA20), Outperforming index",2026-07-08T21:17:15.196950
