symbol,signal_date,score,reasons,entry_price,rsi,stop_loss,target,outcome,exit_price,exit_date,days_held,return_pct
ABB.NS,2026-02-18,6,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),5857.54,69.3,5628.11,6316.41,target_hit,6316.41,2026-03-12,15,7.83
ADANIENSOL.NS,2026-02-18,5,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1035.7,59.8,981.85,1143.4,stop_loss_hit,981.85,2026-03-02,8,-5.2
ADANIGREEN.NS,2026-02-18,3,RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1000.1,57.7,943.2,1113.9,stop_loss_hit,943.2,2026-02-27,7,-5.69
ADANIPORTS.NS,2026-02-18,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1544.29,59.1,1483.75,1665.38,stop_loss_hit,1483.75,2026-03-02,8,-3.92
ADANIPOWER.NS,2026-02-18,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),144.49,50.2,136.97,159.53,stop_loss_hit,136.97,2026-03-02,8,-5.2
APOLLOHOSP.NS,2026-02-18,7,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Open-Low Same (conviction buy); Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),7647.5,73.6,7429.34,8083.82,timeout,7574.5,2026-03-12,15,-0.95
ASIANPAINT.NS,2026-02-18,4,RSI bounced off oversold; MACD bullish crossover; ADX greater than 25; Volume contracting (low selling pressure),2432.1,38.6,2344.97,2606.36,stop_loss_hit,2344.97,2026-03-02,8,-3.58
AXISBANK.NS,2026-02-18,6,Uptrend (above rising SMA50); RSI in healthy zone; MACD bullish crossover; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1377.0,62.3,1331.61,1467.78,stop_loss_hit,1331.61,2026-03-04,9,-3.3
BAJAJ-AUTO.NS,2026-02-18,5,Uptrend (above rising SMA50); Near 20-day high; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),9841.5,65.6,9556.99,10410.51,stop_loss_hit,9556.99,2026-02-20,2,-2.89
BAJAJFINSV.NS,2026-02-18,5,RSI in healthy zone; Near 20-day high; Open-Low Same (conviction buy); Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),2060.6,60.7,2008.55,2164.7,stop_loss_hit,2008.55,2026-02-27,7,-2.53
