symbol,signal_date,score,reasons,entry_price,rsi,stop_loss,target,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50,pointer_ols_breakout,pointer_strong_rsi,pointer_sma100_support,pointer_volume_contraction,pointer_weekly_trend_up,pointer_outperforming_index,pointer_rsi2_pullback,pointer_stoch_pullback,pointer_bb_pullback,pointer_inside_bar_breakout,pointer_nr7_breakout,pointer_ema21_pullback,pointer_hammer_at_support
JSWSTEEL.NS,2026-06-01,8,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Open-Low Same (conviction buy); Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index; EMA 21 support pullback,1299.4,57.5,1248.08,1357.873,timeout,1282.4000244140625,2026-06-22,15,-1.31,True,True,False,False,True,False,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False
TECHM.NS,2026-06-01,9,Uptrend (above rising SMA50); Volume spike (>1.5x avg); Near 20-day high; Momentum Breakout (VCP + volume spike); Open-Low Same (conviction buy); Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,1543.2,65.6,1462.39,1612.644,stop_loss_hit,1462.39,2026-06-04,3,-5.24,True,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False
ADANIPORTS.NS,2026-06-02,9,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; ADX greater than 25; Open-Low Same (conviction buy); Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index; EMA 21 support pullback,1806.89,64.0,1722.92,1888.20005,timeout,1784.0,2026-06-23,15,-1.27,True,True,False,False,True,True,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False
VBL.NS,2026-06-02,8,Uptrend (above rising SMA50); Volume spike (>1.5x avg); Near 20-day high; ADX greater than 25; Recent SMA50/SMA100 bullish crossover; Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,537.0,65.7,509.44,561.165,stop_loss_hit,509.44,2026-06-22,14,-5.13,True,False,False,True,True,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False
DIVISLAB.NS,2026-06-03,9,Uptrend (above rising SMA50); RSI in healthy zone; Volume spike (>1.5x avg); ADX greater than 25; Pullback to SMA50 (14d after golden cross); Weekly trend aligned (above Weekly EMA20); Stochastic oversold pullback; Bollinger Band lower support pullback,6576.5,46.1,6195.94,6872.442499999999,target_hit,6872.442499999999,2026-06-23,14,4.5,True,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False
ADANIENT.NS,2026-06-04,9,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Open-Low Same (conviction buy); Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index; Inside Bar breakout,2971.47,72.7,2805.61,3105.1861499999995,timeout,3038.0,2026-06-25,15,2.24,True,False,False,False,True,True,False,False,True,True,False,True,True,True,False,False,False,True,False,False,False
CIPLA.NS,2026-06-04,8,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index; Inside Bar breakout; EMA 21 support pullback,1385.7,57.6,1327.45,1448.0565,target_hit,1448.0565,2026-06-23,13,4.5,True,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,True,False,True,False
DIVISLAB.NS,2026-06-04,8,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Pullback to SMA50 (15d after golden cross); Weekly trend aligned (above Weekly EMA20); Stochastic oversold pullback; Bollinger Band lower support pullback,6596.5,47.4,6204.97,6893.3425,timeout,6713.5,2026-06-25,15,1.77,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False
GAIL.NS,2026-06-04,9,Uptrend (above rising SMA50); RSI in healthy zone; MACD bullish crossover; Near 20-day high; Open-Low Same (conviction buy); Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index; Inside Bar breakout,167.55,58.4,156.72,175.08975,target_hit,175.08975,2026-06-15,7,4.5,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,False,False,True,False,False,False
PIDILITIND.NS,2026-06-04,8,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Open-Low Same (conviction buy); Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index; EMA 21 support pullback,1471.1,57.4,1411.63,1537.2994999999999,target_hit,1537.2994999999999,2026-06-12,6,4.5,True,True,False,False,True,False,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False
TATACONSUM.NS,2026-06-04,8,Uptrend (above rising SMA50); ADX greater than 25; Recent SMA50/SMA100 bullish crossover; Pullback to SMA50 (0d after golden cross); Open-Low Same (conviction buy); Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1149.3,44.3,1093.24,1201.0185,stop_loss_hit,1093.24,2026-06-24,14,-4.88,True,False,False,False,False,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False
ADANIENSOL.NS,2026-06-05,8,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Open-Low Same (conviction buy); Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index; Inside Bar breakout,1579.0,71.1,1455.4,1650.0549999999998,timeout,1507.800048828125,2026-06-26,15,-4.51,True,False,False,False,True,True,False,False,True,True,False,False,True,True,False,False,False,True,False,False,False
ADANIENT.NS,2026-06-05,10,Uptrend (above rising SMA50); MACD bullish crossover; Volume spike (>1.5x avg); Near 20-day high; ADX greater than 25; Momentum Breakout (VCP + volume spike); Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,3046.84,75.8,2873.12,3183.9478,timeout,3038.0,2026-06-26,15,-0.29,True,False,True,True,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False
ADANIGREEN.NS,2026-06-05,10,Uptrend (above rising SMA50); Volume spike (>1.5x avg); Near 20-day high; ADX greater than 25; Momentum Breakout (VCP + volume spike); Open-Low Same (conviction buy); Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,1525.7,71.4,1416.32,1594.3564999999999,timeout,1526.0999755859375,2026-06-26,15,0.03,True,False,False,True,True,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False
ASIANPAINT.NS,2026-06-05,8,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Recent SMA50/SMA100 bullish crossover; Open-Low Same (conviction buy); Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,2686.7,66.1,2563.28,2807.6014999999998,target_hit,2807.6014999999998,2026-06-15,6,4.5,True,False,False,False,True,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False
BOSCHLTD.NS,2026-06-05,8,Uptrend (above rising SMA50); RSI in healthy zone; MACD bullish crossover; Recent SMA50/SMA100 bullish crossover; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index; EMA 21 support pullback,37240.0,55.2,34430.16,38915.799999999996,target_hit,38915.799999999996,2026-06-12,5,4.5,True,True,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,True,False
GAIL.NS,2026-06-05,8,Uptrend (above rising SMA50); RSI in healthy zone; MACD bullish crossover; Near 20-day high; Recent SMA50/SMA100 bullish crossover; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,167.4,58.1,156.71,174.933,target_hit,174.933,2026-06-15,6,4.5,True,True,True,False,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False
GAIL.NS,2026-06-08,9,Uptrend (above rising SMA50); RSI in healthy zone; MACD bullish crossover; Near 20-day high; Recent SMA50/SMA100 bullish crossover; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index; EMA 21 support pullback,168.6,60.0,157.78,176.18699999999998,target_hit,176.18699999999998,2026-06-15,5,4.5,True,True,True,False,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,True,False
NESTLEIND.NS,2026-06-08,8,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Open-Low Same (conviction buy); Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index; Stochastic oversold pullback,1398.9,47.6,1341.22,1461.8505,timeout,1387.300048828125,2026-06-29,15,-0.83,True,True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,False,False,False,False,False
APOLLOHOSP.NS,2026-06-09,9,Uptrend (above rising SMA50); MACD bullish crossover; Volume spike (>1.5x avg); Near 20-day high; Momentum Breakout (VCP + volume spike); Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,8524.0,69.2,8188.01,8907.58,timeout,8618.5,2026-07-01,15,1.11,True,False,True,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False
ASIANPAINT.NS,2026-06-09,8,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Recent SMA50/SMA100 bullish crossover; Open-Low Same (conviction buy); Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,2708.1,66.0,2585.63,2829.9644999999996,target_hit,2829.9644999999996,2026-06-15,4,4.5,True,False,False,False,True,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False
DIVISLAB.NS,2026-06-09,8,Uptrend (above rising SMA50); RSI in healthy zone; Volume spike (>1.5x avg); Pullback to SMA50 (18d after golden cross); Open-Low Same (conviction buy); Weekly trend aligned (above Weekly EMA20); Outperforming index,6753.0,56.3,6229.15,7056.884999999999,timeout,6579.0,2026-06-30,15,-2.58,True,True,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False
ENRIN.NS,2026-06-09,8,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Open-Low Same (conviction buy); Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index; EMA 21 support pullback,3547.5,54.5,3252.73,3707.1375,target_hit,3707.1375,2026-06-17,6,4.5,True,True,False,False,False,True,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False
GAIL.NS,2026-06-09,8,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Recent SMA50/SMA100 bullish crossover; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index; EMA 21 support pullback,167.59,57.6,159.04,175.13155,target_hit,175.13155,2026-06-15,4,4.5,True,True,False,False,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,True,False
